	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
1	7.6954991177352	48.561691394627	7.6976650141473	48.561949180304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
10	7.7104664887404	48.569421702314	7.7098181962137	48.568608680326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0
1001	7.7254965580781	48.535665355391	7.7287351922522	48.537745147411	1.0	1.0	3.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	3.0	6.0	0.0	4.0	5.0	5.0	7.0	9.0	22.0	15.0	21.0	24.0	26.0	28.0	28.0	28.0	39.0	29.0	22.0	30.0	19.0	23.0	21.0	22.0	16.0	26.0	24.0	28.0	25.0	24.0	28.0	17.0	17.0	19.0	16.0	22.0	33.0	37.0	29.0	33.0	25.0	22.0	23.0	21.0	11.0	19.0	20.0	24.0	15.0	26.0	20.0	34.0	20.0	28.0	25.0	25.0	21.0	15.0	20.0	19.0	15.0	16.0	9.0	7.0	11.0	12.0	11.0	11.0	11.0	7.0	5.0	9.0	6.0	4.0	6.0	2.0	3.0	2
1002	7.7323065451724	48.538028860916	7.7320746381172	48.537977666654	5.0	0.0	2.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	2.0	4.0	3.0	8.0	8.0	10.0	17.0	8.0	9.0	25.0	16.0	11.0	18.0	20.0	13.0	18.0	30.0	20.0	19.0	23.0	19.0	18.0	26.0	18.0	19.0	20.0	31.0	16.0	34.0	19.0	25.0	24.0	15.0	31.0	26.0	17.0	27.0	24.0	18.0	18.0	25.0	18.0	24.0	29.0	28.0	28.0	34.0	24.0	39.0	32.0	25.0	30.0	33.0	30.0	17.0	29.0	34.0	18.0	21.0	8.0	12.0	17.0	7.0	12.0	6.0	10.0	14.0	10.0	4.0	11.0	5.0	6.0	1.0	4.0	2
1003	7.7077202243707	48.523683110558	7.7110399113172	48.529091165052	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	3.0	2.0	3.0	5.0	14.0	8.0	11.0	13.0	16.0	17.0	13.0	21.0	11.0	9.0	23.0	9.0	22.0	13.0	13.0	16.0	23.0	24.0	12.0	19.0	14.0	19.0	12.0	6.0	14.0	11.0	6.0	19.0	18.0	16.0	16.0	5.0	6.0	12.0	10.0	23.0	18.0	13.0	18.0	16.0	14.0	17.0	18.0	12.0	17.0	18.0	13.0	19.0	8.0	16.0	6.0	6.0	7.0	7.0	5.0	6.0	4.0	5.0	1.0	6.0	2.0	2.0	6.0	1.0	2.0	1.0	3.0	3.0	1
1004	7.7107745057795	48.52914920192	7.7074008466193	48.52380511926	2.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	2.0	2.0	0.0	0.0	0.0	1.0	4.0	7.0	3.0	5.0	10.0	4.0	7.0	16.0	11.0	13.0	10.0	12.0	7.0	7.0	8.0	8.0	20.0	7.0	12.0	12.0	12.0	23.0	10.0	6.0	9.0	10.0	9.0	14.0	16.0	10.0	9.0	9.0	14.0	13.0	16.0	11.0	22.0	23.0	12.0	12.0	17.0	21.0	11.0	17.0	11.0	15.0	10.0	17.0	12.0	16.0	7.0	8.0	8.0	4.0	3.0	8.0	6.0	8.0	6.0	3.0	4.0	3.0	4.0	3.0	3.0	4.0	4.0	0.0	6
1005	7.7060750886345	48.532183813877	7.7094443056878	48.531270359005	2.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	4.0	3.0	1.0	8.0	3.0	7.0	11.0	12.0	33.0	43.0	37.0	46.0	49.0	45.0	35.0	32.0	16.0	30.0	26.0	34.0	20.0	9.0	25.0	18.0	20.0	28.0	24.0	27.0	22.0	21.0	16.0	27.0	31.0	29.0	1.0	19.0	20.0	17.0	18.0	29.0	21.0	23.0	25.0	23.0	33.0	25.0	17.0	34.0	16.0	24.0	23.0	27.0	17.0	0.0	13.0	28.0	20.0	12.0	20.0	21.0	8.0	10.0	8.0	7.0	9.0	4.0	2.0	8.0	12.0	7.0	8.0	1.0	0.0	1.0	4
1006	7.711206363666	48.530166378773	7.7107271478676	48.531206705571	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	2.0	5.0	2.0	2.0	5.0	7.0	5.0	2.0	6.0	6.0	13.0	9.0	19.0	20.0	26.0	20.0	22.0	31.0	30.0	25.0	18.0	28.0	21.0	23.0	22.0	21.0	24.0	27.0	17.0	24.0	35.0	49.0	43.0	0.0	17.0	14.0	21.0	21.0	33.0	25.0	22.0	20.0	33.0	0.0	26.0	25.0	27.0	32.0	46.0	39.0	23.0	35.0	54.0	48.0	52.0	63.0	45.0	27.0	26.0	30.0	21.0	24.0	11.0	10.0	19.0	21.0	16.0	6.0	7.0	13.0	10.0	5.0	13.0	4.0	9.0	6.0	5.0	6.0	1.0	0
1007	7.7401732861317	48.538156980707	7.7357509405567	48.53921353545	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	2.0	2.0	1.0	1.0	2.0	4.0	3.0	3.0	3.0	6.0	11.0	4.0	6.0	9.0	4.0	10.0	3.0	8.0	6.0	12.0	8.0	9.0	7.0	5.0	7.0	5.0	11.0	10.0	7.0	3.0	5.0	6.0	7.0	10.0	8.0	7.0	5.0	5.0	5.0	11.0	12.0	11.0	8.0	7.0	17.0	11.0	13.0	15.0	15.0	7.0	12.0	7.0	8.0	8.0	15.0	12.0	6.0	4.0	9.0	7.0	4.0	3.0	2.0	2.0	1.0	3.0	0.0	0.0	1.0	2.0	1.0	1.0	2.0	1.0	0
1008	7.7343157815475	48.539196130437	7.7356970843455	48.539056768055	0.0	3.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0	1.0	2.0	3.0	3.0	5.0	10.0	10.0	9.0	13.0	9.0	8.0	8.0	6.0	3.0	7.0	5.0	5.0	8.0	3.0	3.0	5.0	8.0	14.0	6.0	9.0	12.0	2.0	10.0	9.0	10.0	7.0	8.0	5.0	10.0	7.0	4.0	8.0	7.0	9.0	8.0	12.0	15.0	11.0	6.0	12.0	4.0	13.0	14.0	9.0	10.0	5.0	5.0	11.0	10.0	2.0	2.0	3.0	5.0	3.0	9.0	2.0	4.0	1.0	3.0	3.0	3.0	1.0	4.0	1.0	0.0	0.0	0
1009	7.734285314734	48.53955923728	7.735778754978	48.542008338847	2.0	3.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	2.0	3.0	2.0	4.0	3.0	5.0	6.0	4.0	6.0	9.0	7.0	11.0	19.0	24.0	34.0	25.0	40.0	21.0	22.0	28.0	6.0	21.0	21.0	14.0	19.0	25.0	21.0	20.0	32.0	29.0	33.0	16.0	17.0	15.0	21.0	14.0	13.0	23.0	33.0	26.0	18.0	33.0	24.0	24.0	20.0	26.0	30.0	33.0	34.0	24.0	34.0	23.0	29.0	26.0	37.0	19.0	19.0	27.0	15.0	25.0	27.0	17.0	12.0	14.0	22.0	14.0	10.0	11.0	11.0	7.0	6.0	10.0	9.0	5.0	14.0	4.0	5.0	6.0	5.0	1
