#### EXPORT DONNEES METEO POUR "STRASBOURG" (LAT/LON: 48.583148/7.747882)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING
2016-09-01,27,23,10,18,26,26,0,69,10,1025,12.875,28,16,24,113,113,113
2016-09-02,29,24,5,13,28,25,0,80,10,1024,13.25,29,16,24,113,113,113
2016-09-03,31,21,10,15,30,26,0,63,10,1020,21.5,32,16,22,116,113,113
2016-09-04,28,20,22,16,28,20,4.3,91,9.625,1019,47.625,28,16,21,116,116,293
2016-09-05,23,19,12,16,22,21,3.1,83,9.75,1024,52.25,25,14,17,176,176,113
2016-09-06,24,19,15,13,23,21,0,76,7,1026,3.75,27,15,19,143,113,113
2016-09-07,25,20,9,14,24,24,0,81,10,1023,1.25,31,18,22,113,113,113
2016-09-08,30,23,9,15,28,25,0,83,10,1015,4.375,30,19,22,113,113,113
2016-09-09,28,22,9,17,26,23,0,80,10,1019,13.25,29,18,23,113,113,113
2016-09-10,29,23,4,17,28,25,0,80,10,1017,18,33,20,21,113,113,116
2016-09-11,29,24,6,17,28,25,0,74,10,1018,18.125,30,16,20,113,113,113
2016-09-12,30,23,8,17,29,25,0,78,10,1018,6.875,33,18,21,113,113,113
2016-09-13,31,25,6,17,30,26,0,59,10,1017,4,34,18,23,113,113,113
2016-09-14,31,24,12,17,29,26,0,68,10,1013,2.75,32,18,22,113,113,113
2016-09-15,23,23,13,17,23,23,1.3,89,7.875,1014,43.875,25,17,16,113,266,116
2016-09-16,22,19,15,13,19,20,0.7,82,9.375,1015,48.125,25,14,14,116,116,113
2016-09-17,20,15,13,14,20,16,1.2,84,9.875,1015,53,25,13,15,116,176,353
2016-09-18,16,16,4,15,16,16,13.6,95,5.75,1014,88.375,18,14,14,302,266,143
2016-09-19,20,16,10,13,19,17,0.8,89,5.875,1018,54.5,21,14,16,143,353,116
2016-09-20,19,16,12,12,19,17,0,81,9,1018,37.5,20,13,17,143,119,116
2016-09-21,19,15,13,9,19,15,0,76,10,1021,3.625,20,11,13,113,113,113
2016-09-22,23,14,5,8,20,21,0,83,10,1022,18.5,25,13,20,113,113,119
2016-09-23,23,15,4,11,23,18,0,82,10,1026,11.125,25,13,16,113,113,113
2016-09-24,23,16,5,8,21,19,0,78,10,1027,1.625,27,14,20,113,113,113
2016-09-25,25,18,12,10,24,22,0,81,10,1022,4.875,26,15,22,113,113,113
2016-09-26,21,16,9,14,19,18,0.2,89,8,1024,60.375,21,15,15,143,119,113
2016-09-27,22,14,6,15,21,18,0,89,10,1029,50.625,25,15,15,119,119,113
2016-09-28,24,18,12,11,24,21,0,80,10,1030,9.625,25,14,21,113,113,113
2016-09-29,26,16,19,13,25,21,0,72,10,1028,5.125,26,15,17,113,113,113
2016-09-30,24,17,24,15,24,19,0.2,93,10,1017,42.375,25,14,14,113,119,116
